u_id,raw,stated_country,cue_1,cue_2,cue_3
1309b373-b885-4aa0-b6f8-7aab4b734ac2,"Country: China

Visual Cue 1: The woman is wearing a traditional Chinese dress called a qipao.
Visual Cue 2: The woman is holding a red flower, which is often associated with Chinese culture.
Visual Cue 3: The",China,The woman is wearing a traditional Chinese dress called a qipao.,"The woman is holding a red flower, which is often associated with Chinese culture.",The
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,"Country: China

Visual Cue 1: The traditional Chinese lion dance is depicted in the image.
Visual Cue 2: The clothing and accessories worn by the performers are reminiscent of traditional Chinese attire.
Visual Cue 3: The use of vibrant colors",China,The traditional Chinese lion dance is depicted in the image.,The clothing and accessories worn by the performers are reminiscent of traditional Chinese attire.,The use of vibrant colors
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,"Country: China

Visual Cue 1: Red lanterns
Visual Cue 2: Chinese characters on the phone screen
Visual Cue 3: Traditional Chinese decorations on the branch",China,Red lanterns,Chinese characters on the phone screen,Traditional Chinese decorations on the branch
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,"Country: China

Visual Cue 1: The woman is wearing traditional Chinese clothing, which is often red and gold with intricate designs.
Visual Cue 2: The artwork she is working on appears to be a traditional Chinese paper cut, a common craft",China,"The woman is wearing traditional Chinese clothing, which is often red and gold with intricate designs.","The artwork she is working on appears to be a traditional Chinese paper cut, a common craft",
1bad08e1-1e74-421f-996f-5c435cb367e3,"Country: China

Visual Cue 1: The architecture of the building resembles traditional Chinese structures, which are often seen in the Forbidden City in Beijing.
Visual Cue 2: The presence of the Chinese flag on the building suggests a strong connection to China",China,"The architecture of the building resembles traditional Chinese structures, which are often seen in the Forbidden City in Beijing.",The presence of the Chinese flag on the building suggests a strong connection to China,
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,"Country: China

Visual Cue 1: The red envelopes (hong bao) are a traditional Chinese New Year item.
Visual Cue 2: The calligraphy on the envelopes is in Chinese characters.
Visual Cue 3: The tablecloth",China,The red envelopes (hong bao) are a traditional Chinese New Year item.,The calligraphy on the envelopes is in Chinese characters.,The tablecloth
07dabc78-3e60-46e1-b6e4-14c03b083f61,"Country: India

Visual Cue 1: The flower in the image resembles the jasmine flower, which is commonly associated with India.
Visual Cue 2: The background has a greenish hue, which is typical of the lush green landscapes found in India",India,"The flower in the image resembles the jasmine flower, which is commonly associated with India.","The background has a greenish hue, which is typical of the lush green landscapes found in India",
e8417033-3d23-4eb3-b225-e8d68ff8cde3,"Country: China

Visual Cue 1: The dish contains tea eggs, which are a popular Chinese dish.
Visual Cue 2: The newspaper in the background has Chinese characters, indicating a Chinese language.
Visual Cue 3: The wooden bowl and",China,"The dish contains tea eggs, which are a popular Chinese dish.","The newspaper in the background has Chinese characters, indicating a Chinese language.",The wooden bowl and
7469bf5a-e55b-4077-8c23-4f80be8daa32,"Country: Ethiopia

Visual Cue 1: The jar contains honey, which is a product commonly associated with Ethiopia, known for its honey production.
Visual Cue 2: The jar has a white lid, which is a common feature in Ethiopian honey packaging",Ethiopia,"The jar contains honey, which is a product commonly associated with Ethiopia, known for its honey production.","The jar has a white lid, which is a common feature in Ethiopian honey packaging",
803df59c-07e6-4459-a5cb-8c2e27237461,"Country: China

Visual Cue 1: The text on the bottle is in Chinese characters.
Visual Cue 2: The bottle has a traditional Chinese design with gold and yellow colors.
Visual Cue 3: The background appears to be a traditional Chinese",China,The text on the bottle is in Chinese characters.,The bottle has a traditional Chinese design with gold and yellow colors.,The background appears to be a traditional Chinese
