u_id,raw,stated_country,cue_1,cue_2,cue_3
1309b373-b885-4aa0-b6f8-7aab4b734ac2,"Country: China

Visual Cue 1: The woman is wearing a traditional Chinese dress, known as a qipao or cheongsam, which is a common garment in Chinese culture.
Visual Cue 2: The style of the dress, with its high collar and fitted silhouette, is characteristic of traditional Chinese fashion.
Visual Cue 3: The woman's hair is styled in a way that is typical of Chinese fashion, with a neat and elegant appearance.",China,"The woman is wearing a traditional Chinese dress, known as a qipao or cheongsam, which is a common garment in Chinese culture.","The style of the dress, with its high collar and fitted silhouette, is characteristic of traditional Chinese fashion.","The woman's hair is styled in a way that is typical of Chinese fashion, with a neat and elegant appearance."
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,"Country: China

Visual Cue 1: The traditional Chinese dragon costumes worn by the performers.
Visual Cue 2: The use of red and gold colors, which are significant in Chinese culture.
Visual Cue 3: The presence of Chinese characters on the shields, which are a common element in Chinese cultural performances.",China,The traditional Chinese dragon costumes worn by the performers.,"The use of red and gold colors, which are significant in Chinese culture.","The presence of Chinese characters on the shields, which are a common element in Chinese cultural performances."
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,"Country: China

Visual Cue 1: Red lanterns - Red lanterns are a traditional symbol commonly associated with Chinese culture and are often used during festivals and celebrations, such as the Chinese New Year.

Visual Cue 2: Chinese calligraphy - The text on the phone screen appears to be in Chinese characters, which is a form of Chinese calligraphy.

Visual Cue 3: Golden decorations - The golden decorations and motifs in the background are reminiscent of traditional",China,"Red lanterns - Red lanterns are a traditional symbol commonly associated with Chinese culture and are often used during festivals and celebrations, such as the Chinese New Year.","Chinese calligraphy - The text on the phone screen appears to be in Chinese characters, which is a form of Chinese calligraphy.",Golden decorations - The golden decorations and motifs in the background are reminiscent of traditional
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,"Country: China

Visual Cue 1: The woman is wearing a traditional Chinese-style jacket with intricate gold embroidery.
Visual Cue 2: The red paper cuttings displayed on the wall are a traditional Chinese art form.
Visual Cue 3: The overall setting and the style of the artworks suggest a cultural context that is strongly associated with China.",China,The woman is wearing a traditional Chinese-style jacket with intricate gold embroidery.,The red paper cuttings displayed on the wall are a traditional Chinese art form.,The overall setting and the style of the artworks suggest a cultural context that is strongly associated with China.
1bad08e1-1e74-421f-996f-5c435cb367e3,"Country: China

Visual Cue 1: The architecture of the building in the image is distinctly Chinese, featuring traditional roofing and design elements.
Visual Cue 2: The presence of fireworks in the sky is a common element in Chinese celebrations and festivals.
Visual Cue 3: The overall aesthetic and layout of the scene, including the fountain and the landscaping, are reminiscent of Chinese cultural and architectural styles.",China,"The architecture of the building in the image is distinctly Chinese, featuring traditional roofing and design elements.",The presence of fireworks in the sky is a common element in Chinese celebrations and festivals.,"The overall aesthetic and layout of the scene, including the fountain and the landscaping, are reminiscent of Chinese cultural and architectural styles."
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,"Country: China

Visual Cue 1: The red tablecloth with gold patterns is a common element in Chinese celebrations, particularly during the Lunar New Year.
Visual Cue 2: The red envelope (hongbao) is a traditional Chinese gift, often given during the Lunar New Year to symbolize good luck and prosperity.
Visual Cue 3: The food items, such as the dumplings, oranges, and other dishes, are typical Chinese New",China,"The red tablecloth with gold patterns is a common element in Chinese celebrations, particularly during the Lunar New Year.","The red envelope (hongbao) is a traditional Chinese gift, often given during the Lunar New Year to symbolize good luck and prosperity.","The food items, such as the dumplings, oranges, and other dishes, are typical Chinese New"
07dabc78-3e60-46e1-b6e4-14c03b083f61,"Country: Brazil

Visual Cue 1: The flower in the image is a plumeria, commonly known as frangipani, which is native to Brazil and other tropical regions in South America.

Visual Cue 2: The background of the image shows green foliage, which is typical of the lush, tropical environment found in Brazil.

Visual Cue 3: The overall aesthetic of the image, with its vibrant colors and natural setting, is reminiscent of the diverse and rich",Brazil,"The flower in the image is a plumeria, commonly known as frangipani, which is native to Brazil and other tropical regions in South America.","The background of the image shows green foliage, which is typical of the lush, tropical environment found in Brazil.","The overall aesthetic of the image, with its vibrant colors and natural setting, is reminiscent of the diverse and rich"
e8417033-3d23-4eb3-b225-e8d68ff8cde3,"Country: India

Visual Cue 1: The spices in the image resemble Indian spices, such as star anise and black peppercorns, which are commonly used in Indian cuisine.

Visual Cue 2: The wooden spoon and bowl are indicative of traditional Indian kitchenware, often used in Indian cooking.

Visual Cue 3: The newspaper in the background has text in the Devanagari script, which is used in several Indian languages, including Hindi and Marathi",India,"The spices in the image resemble Indian spices, such as star anise and black peppercorns, which are commonly used in Indian cuisine.","The wooden spoon and bowl are indicative of traditional Indian kitchenware, often used in Indian cooking.","The newspaper in the background has text in the Devanagari script, which is used in several Indian languages, including Hindi and Marathi"
7469bf5a-e55b-4077-8c23-4f80be8daa32,"Country: Brazil

Visual Cue 1: The amber color of the liquid in the jar is characteristic of Brazilian honey, which is known for its rich, golden hue.

Visual Cue 2: The jar's design and labeling style are consistent with the packaging commonly used for Brazilian honey products.

Visual Cue 3: The background elements, such as the kitchen setting and the style of the cabinet, suggest a domestic environment in Brazil, where honey is a popular and widely consumed product.",Brazil,"The amber color of the liquid in the jar is characteristic of Brazilian honey, which is known for its rich, golden hue.",The jar's design and labeling style are consistent with the packaging commonly used for Brazilian honey products.,"The background elements, such as the kitchen setting and the style of the cabinet, suggest a domestic environment in Brazil, where honey is a popular and widely consumed product."
803df59c-07e6-4459-a5cb-8c2e27237461,"Country: China

Visual Cue 1: The text on the bottle is written in Chinese characters.
Visual Cue 2: The design and style of the bottle, including the calligraphy, are characteristic of traditional Chinese aesthetics.
Visual Cue 3: The woman's attire, particularly the green collar, is reminiscent of traditional Chinese clothing.",China,The text on the bottle is written in Chinese characters.,"The design and style of the bottle, including the calligraphy, are characteristic of traditional Chinese aesthetics.","The woman's attire, particularly the green collar, is reminiscent of traditional Chinese clothing."
