u_id,raw,stated_country,cue_1,cue_2,cue_3
1309b373-b885-4aa0-b6f8-7aab4b734ac2,"Country: China

Visual Cue 1: The woman is wearing a traditional Chinese dress, which is red in color.
Visual Cue 2: The woman has her hair styled in a way that is common in Chinese culture.
Visual Cue 3: The woman is holding a flower, which is a common symbol in Chinese culture.",China,"The woman is wearing a traditional Chinese dress, which is red in color.",The woman has her hair styled in a way that is common in Chinese culture.,"The woman is holding a flower, which is a common symbol in Chinese culture."
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,"Country: China

Visual Cue 1: The presence of traditional Chinese clothing and accessories, such as the red and gold robes, the dragon heads, and the intricate patterns on the clothing.

Visual Cue 2: The use of traditional Chinese colors, such as red, gold, and white, which are often associated with Chinese culture and festivals.

Visual Cue 3: The depiction of Chinese characters and symbols, which are used to write the",China,"The presence of traditional Chinese clothing and accessories, such as the red and gold robes, the dragon heads, and the intricate patterns on the clothing.","The use of traditional Chinese colors, such as red, gold, and white, which are often associated with Chinese culture and festivals.","The depiction of Chinese characters and symbols, which are used to write the"
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,"Country: China

Visual Cue 1: The red lanterns hanging from the tree are a traditional symbol of Chinese culture and festivities, particularly during the Lunar New Year.

Visual Cue 2: The text ""Ready Now"" on the phone screen is in English, which is the official language of China.

Visual Cue 3: The design of the phone interface, including the use of red and gold colors, is reminiscent of",China,"The red lanterns hanging from the tree are a traditional symbol of Chinese culture and festivities, particularly during the Lunar New Year.","The text ""Ready Now"" on the phone screen is in English, which is the official language of China.","The design of the phone interface, including the use of red and gold colors, is reminiscent of"
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,"Country: China

Visual Cue 1: The woman is wearing a traditional Chinese hat, which is a black, round hat.

Visual Cue 2: The woman is working on a traditional Chinese paper-cutting, which is a common art form in China.

Visual Cue 3: The paper-cutting she is working on features a traditional Chinese design, which is often seen in Chinese art and culture.",China,"The woman is wearing a traditional Chinese hat, which is a black, round hat.","The woman is working on a traditional Chinese paper-cutting, which is a common art form in China.","The paper-cutting she is working on features a traditional Chinese design, which is often seen in Chinese art and culture."
1bad08e1-1e74-421f-996f-5c435cb367e3,"Country: China

Visual Cue 1: The traditional Chinese architecture of the buildings in the background.
Visual Cue 2: The presence of a large, ornate fountain in the foreground, which is a common feature in Chinese gardens and public spaces.
Visual Cue 3: The fireworks in the sky, which are often associated with Chinese celebrations and festivals.",China,The traditional Chinese architecture of the buildings in the background.,"The presence of a large, ornate fountain in the foreground, which is a common feature in Chinese gardens and public spaces.","The fireworks in the sky, which are often associated with Chinese celebrations and festivals."
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,"Country: China

Visual Cue 1: The presence of Chinese characters on the red paper being held by the person.
Visual Cue 2: The traditional Chinese dish of dumplings in the background.
Visual Cue 3: The presence of Chinese-style dishes and ingredients, such as the bowl of rice and the dish with what appears to be a Chinese-style meat dish.",China,The presence of Chinese characters on the red paper being held by the person.,The traditional Chinese dish of dumplings in the background.,"The presence of Chinese-style dishes and ingredients, such as the bowl of rice and the dish with what appears to be a Chinese-style meat dish."
07dabc78-3e60-46e1-b6e4-14c03b083f61,"Country: Brazil

Visual Cue 1: The flower in the image is a jasmine, which is native to the Indian subcontinent, including India and Pakistan. However, jasmine is also widely cultivated in other countries, including Brazil.

Visual Cue 2: The flower is white with a yellow center, which is characteristic of the jasmine plant.

Visual Cue 3: The background of the image shows green foliage,",Brazil,"The flower in the image is a jasmine, which is native to the Indian subcontinent, including India and Pakistan. However, jasmine is also widely cultivated in other countries, including Brazil.","The flower is white with a yellow center, which is characteristic of the jasmine plant.","The background of the image shows green foliage,"
e8417033-3d23-4eb3-b225-e8d68ff8cde3,"Country: Brazil

Visual Cue 1: The presence of a Brazilian flag in the background.
Visual Cue 2: The text ""Brasil"" on the newspaper.
Visual Cue 3: The presence of a Brazilian flag in the background.",Brazil,The presence of a Brazilian flag in the background.,"The text ""Brasil"" on the newspaper.",The presence of a Brazilian flag in the background.
7469bf5a-e55b-4077-8c23-4f80be8daa32,"Country: Brazil

Visual Cue 1: The jar has a label that is in Portuguese, which is the official language of Brazil.
Visual Cue 2: The jar has a label that is in yellow and green, which are the colors of the Brazilian flag.
Visual Cue 3: The jar has a label that features a tropical fruit, which is a common theme in Brazilian culture and cuisine.",Brazil,"The jar has a label that is in Portuguese, which is the official language of Brazil.","The jar has a label that is in yellow and green, which are the colors of the Brazilian flag.","The jar has a label that features a tropical fruit, which is a common theme in Brazilian culture and cuisine."
803df59c-07e6-4459-a5cb-8c2e27237461,"Country: China

Visual Cue 1: The label on the bottle is in Chinese characters.
Visual Cue 2: The woman is holding a bottle of Chinese liquor.
Visual Cue 3: The bottle has a traditional Chinese design.",China,The label on the bottle is in Chinese characters.,The woman is holding a bottle of Chinese liquor.,The bottle has a traditional Chinese design.
