u_id,model,true_country,pred_country_orig,correct_orig,category_primary,category_name,category_score,pred_k10,changed_k10,pred_k20,changed_k20,pred_k30,changed_k30
1309b373-b885-4aa0-b6f8-7aab4b734ac2,qwen2vl,China,China,True,B,Clothing / Dress,0.573587,China,False,China,False,China,False
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,qwen2vl,China,China,True,F,Ritual / Festival,0.591065,China,False,China,False,China,False
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,qwen2vl,China,China,True,F,Ritual / Festival,0.540006,China,False,China,False,China,False
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,qwen2vl,China,China,True,B,Clothing / Dress,0.49097,China,False,China,False,China,False
1bad08e1-1e74-421f-996f-5c435cb367e3,qwen2vl,China,China,True,F,Ritual / Festival,0.82297,China,False,China,False,China,False
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,qwen2vl,China,China,True,D,Food / Objects,0.51162,China,False,China,False,China,False
07dabc78-3e60-46e1-b6e4-14c03b083f61,qwen2vl,China,India,False,H,Appearance,0.411805,Rwanda,True,Brazil,True,Iran,True
e8417033-3d23-4eb3-b225-e8d68ff8cde3,qwen2vl,China,China,True,D,Food / Objects,0.971469,Nigeria,True,Nigeria,True,Nigeria,True
7469bf5a-e55b-4077-8c23-4f80be8daa32,qwen2vl,China,Ethiopia,False,D,Food / Objects,0.852698,Ethiopia,False,Ethiopia,False,Ethiopia,False
803df59c-07e6-4459-a5cb-8c2e27237461,qwen2vl,China,China,True,D,Food / Objects,0.371883,China,False,China,False,China,False
b2886064-331e-4c71-a625-d9d2c5cd9421,qwen2vl,China,China,True,H,Appearance,0.533005,Iran,True,Iran,True,Iran,True
f009866e-207b-4ed4-b0d2-150b69a5d0b0,qwen2vl,China,China,True,C,Architecture,0.980014,China,False,China,False,China,False
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,qwen2vl,China,China,True,E,Script / Text,0.997072,China,False,China,False,China,False
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,qwen2vl,China,China,True,D,Food / Objects,0.984139,Iran,True,Iran,True,Iran,True
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,qwen2vl,China,China,True,A,National Symbols,0.548006,China,False,China,False,China,False
a8f5c325-4cc4-4371-bd45-5d19156de028,qwen2vl,China,China,True,D,Food / Objects,0.940822,China,False,China,False,China,False
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,qwen2vl,China,China,True,F,Ritual / Festival,0.99051,Brazil,True,Nigeria,True,Nigeria,True
22bb7d28-bb29-4a85-af25-85f66ce70d52,qwen2vl,China,China,True,C,Architecture,0.697816,China,False,China,False,China,False
4c169dc1-0511-4867-803b-2c5724589072,qwen2vl,China,China,True,D,Food / Objects,0.989293,China,False,China,False,Ethiopia,True
aa454b8a-ea44-47d8-bfc5-8e0691affc18,qwen2vl,China,China,True,C,Architecture,0.948782,China,False,China,False,China,False
c4ba628f-6ccc-4659-88e0-989cf36c6b66,qwen2vl,Canada,Canada,True,H,Appearance,0.505334,Canada,False,Canada,False,Canada,False
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,qwen2vl,Canada,Germany,False,D,Food / Objects,0.843457,Germany,False,Germany,False,Ethiopia,True
48cb84ac-f6c8-41d5-a8bd-433790fd4228,qwen2vl,Canada,USA,False,D,Food / Objects,0.663482,Rwanda,True,India,True,Iran,True
