u_id,model,true_country,facet,stated_country,cue_1,cue_2,cue_3,stated_cats,top_patch_cats,overlap,faithfulness,n_cues_parsed
1309b373-b885-4aa0-b6f8-7aab4b734ac2,internvl2,China,clothing,China,"The woman is wearing a traditional Chinese dress, known as a qipao or cheongsam, which is a common garment in Chinese culture.","The style of the dress, with its high collar and fitted silhouette, is characteristic of traditional Chinese fashion.","The woman's hair is styled in a way that is typical of Chinese fashion, with a neat and elegant appearance.",B|B|H,H,1,0.3333,3
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,internvl2,China,traditions,China,The traditional Chinese dragon costumes worn by the performers.,"The use of red and gold colors, which are significant in Chinese culture.","The presence of Chinese characters on the shields, which are a common element in Chinese cultural performances.",B|B|E,H,0,0.0,3
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,internvl2,China,traditions,China,"Red lanterns - Red lanterns are a traditional symbol commonly associated with Chinese culture and are often used during festivals and celebrations, such as the Chinese New Year.","Chinese calligraphy - The text on the phone screen appears to be in Chinese characters, which is a form of Chinese calligraphy.",Golden decorations - The golden decorations and motifs in the background are reminiscent of traditional,D|E|G,F|H,0,0.0,3
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,internvl2,China,traditions,China,The woman is wearing a traditional Chinese-style jacket with intricate gold embroidery.,The red paper cuttings displayed on the wall are a traditional Chinese art form.,The overall setting and the style of the artworks suggest a cultural context that is strongly associated with China.,B|E|D,E|H,1,0.3333,3
1bad08e1-1e74-421f-996f-5c435cb367e3,internvl2,China,traditions,China,"The architecture of the building in the image is distinctly Chinese, featuring traditional roofing and design elements.",The presence of fireworks in the sky is a common element in Chinese celebrations and festivals.,"The overall aesthetic and layout of the scene, including the fountain and the landscaping, are reminiscent of Chinese cultural and architectural styles.",C|F|G,E|G,1,0.3333,3
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,internvl2,China,traditions,China,"The red tablecloth with gold patterns is a common element in Chinese celebrations, particularly during the Lunar New Year.","The red envelope (hongbao) is a traditional Chinese gift, often given during the Lunar New Year to symbolize good luck and prosperity.","The food items, such as the dumplings, oranges, and other dishes, are typical Chinese New",F|F|D,D|H,1,0.3333,3
07dabc78-3e60-46e1-b6e4-14c03b083f61,internvl2,China,drink,Brazil,"The flower in the image is a plumeria, commonly known as frangipani, which is native to Brazil and other tropical regions in South America.","The background of the image shows green foliage, which is typical of the lush, tropical environment found in Brazil.","The overall aesthetic of the image, with its vibrant colors and natural setting, is reminiscent of the diverse and rich",D|G|G,H,0,0.0,3
e8417033-3d23-4eb3-b225-e8d68ff8cde3,internvl2,China,drink,India,"The spices in the image resemble Indian spices, such as star anise and black peppercorns, which are commonly used in Indian cuisine.","The wooden spoon and bowl are indicative of traditional Indian kitchenware, often used in Indian cooking.","The newspaper in the background has text in the Devanagari script, which is used in several Indian languages, including Hindi and Marathi",D|D|E,D|G|H,1,0.3333,3
7469bf5a-e55b-4077-8c23-4f80be8daa32,internvl2,China,drink,Brazil,"The amber color of the liquid in the jar is characteristic of Brazilian honey, which is known for its rich, golden hue.",The jar's design and labeling style are consistent with the packaging commonly used for Brazilian honey products.,"The background elements, such as the kitchen setting and the style of the cabinet, suggest a domestic environment in Brazil, where honey is a popular and widely consumed product.",D|C|G,E|H,0,0.0,3
803df59c-07e6-4459-a5cb-8c2e27237461,internvl2,China,drink,China,The text on the bottle is written in Chinese characters.,"The design and style of the bottle, including the calligraphy, are characteristic of traditional Chinese aesthetics.","The woman's attire, particularly the green collar, is reminiscent of traditional Chinese clothing.",E|E|B,D|E,1,0.3333,3
