u_id,model,true_country,facet,stated_country,cue_1,cue_2,cue_3,stated_cats,top_patch_cats,overlap,faithfulness,n_cues_parsed
1309b373-b885-4aa0-b6f8-7aab4b734ac2,llava,China,clothing,China,"The woman is wearing a traditional Chinese dress, which is red in color.",The woman has her hair styled in a way that is common in Chinese culture.,"The woman is holding a flower, which is a common symbol in Chinese culture.",B|F|F,H,0,0.0,3
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,llava,China,traditions,China,"The presence of traditional Chinese clothing and accessories, such as the red and gold robes, the dragon heads, and the intricate patterns on the clothing.","The use of traditional Chinese colors, such as red, gold, and white, which are often associated with Chinese culture and festivals.","The depiction of Chinese characters and symbols, which are used to write the",B|F|E,H,0,0.0,3
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,llava,China,traditions,China,"The red lanterns hanging from the tree are a traditional symbol of Chinese culture and festivities, particularly during the Lunar New Year.","The text ""Ready Now"" on the phone screen is in English, which is the official language of China.","The design of the phone interface, including the use of red and gold colors, is reminiscent of",F|E|G,B|F|H,1,0.3333,3
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,llava,China,traditions,China,"The woman is wearing a traditional Chinese hat, which is a black, round hat.","The woman is working on a traditional Chinese paper-cutting, which is a common art form in China.","The paper-cutting she is working on features a traditional Chinese design, which is often seen in Chinese art and culture.",B|F|E,D|E|H,1,0.3333,3
1bad08e1-1e74-421f-996f-5c435cb367e3,llava,China,traditions,China,The traditional Chinese architecture of the buildings in the background.,"The presence of a large, ornate fountain in the foreground, which is a common feature in Chinese gardens and public spaces.","The fireworks in the sky, which are often associated with Chinese celebrations and festivals.",C|G|F,C|E|H,1,0.3333,3
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,llava,China,traditions,China,The presence of Chinese characters on the red paper being held by the person.,The traditional Chinese dish of dumplings in the background.,"The presence of Chinese-style dishes and ingredients, such as the bowl of rice and the dish with what appears to be a Chinese-style meat dish.",E|D|D,E,1,0.3333,3
07dabc78-3e60-46e1-b6e4-14c03b083f61,llava,China,drink,Brazil,"The flower in the image is a jasmine, which is native to the Indian subcontinent, including India and Pakistan. However, jasmine is also widely cultivated in other countries, including Brazil.","The flower is white with a yellow center, which is characteristic of the jasmine plant.","The background of the image shows green foliage,",G|G|G,H,0,0.0,3
e8417033-3d23-4eb3-b225-e8d68ff8cde3,llava,China,drink,Brazil,The presence of a Brazilian flag in the background.,"The text ""Brasil"" on the newspaper.",The presence of a Brazilian flag in the background.,A|H|A,D|H,1,0.3333,3
7469bf5a-e55b-4077-8c23-4f80be8daa32,llava,China,drink,Brazil,"The jar has a label that is in Portuguese, which is the official language of Brazil.","The jar has a label that is in yellow and green, which are the colors of the Brazilian flag.","The jar has a label that features a tropical fruit, which is a common theme in Brazilian culture and cuisine.",E|D|D,D,1,0.3333,3
803df59c-07e6-4459-a5cb-8c2e27237461,llava,China,drink,China,The label on the bottle is in Chinese characters.,The woman is holding a bottle of Chinese liquor.,The bottle has a traditional Chinese design.,E|F|D,E|H,1,0.3333,3
b2886064-331e-4c71-a625-d9d2c5cd9421,llava,China,drink,Brazil,The presence of the Brazilian flag in the background.,"The text ""Brasil"" on the image.","The style of the flowers, which are reminiscent of the national flower of Brazil, the jacaranda.",A|G|G,D|H,0,0.0,3
f009866e-207b-4ed4-b0d2-150b69a5d0b0,llava,China,food,China,"The architecture of the building, with its traditional Chinese design elements such as the pitched roof, the ornate wooden beams, and the intricate decorative details.","The presence of Chinese characters on the building, which is a common feature of Chinese architecture.","The overall style of the building, which is reminiscent of traditional Chinese architecture, with its emphasis on",C|E|C,C|D|E,2,0.6667,3
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,llava,China,food,China,"The characters ""你好"" are written in Chinese.",The characters are written in a style that is commonly used in China.,The characters are written in a language that is spoken in China.,E|E|E,E,1,0.3333,3
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,llava,China,food,Brazil,"The dish appears to be a type of Brazilian cuisine, possibly a soup or stew, which is commonly known as ""mocotó"" or ""moqueca"" in Brazil.","The presence of a spoon in the dish suggests that it is a dish that is typically eaten with a spoon, which is common in Brazilian cuisine.",The color,D|D|H,D|H,2,0.6667,3
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,llava,China,food,China,The map of China is prominently displayed in the top left corner of the image.,The flag of China is shown in the top right corner of the image.,The seal of China is depicted in the bottom right corner of the image.,G|A|A,E|H,0,0.0,3
a8f5c325-4cc4-4371-bd45-5d19156de028,llava,China,food,China,"The design on the vase is reminiscent of traditional Chinese motifs, such as flowers and birds, which are often used in Chinese ceramics.","The color palette of the vase, with its blue and white hues, is characteristic of Chinese porcelain, which is known for its intricate designs and vibrant colors.",The style of,E|H|C,D|E,1,0.3333,3
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,llava,China,rituals,Brazil,The presence of the Brazilian flag in the background.,"The attire of the participants, which includes the Brazilian flag on their shirts.",The Brazilian flag on the boats.,A|F|A,F|G,1,0.3333,3
22bb7d28-bb29-4a85-af25-85f66ce70d52,llava,China,rituals,Brazil,The presence of the Brazilian flag hanging from the top of the bell.,"The style of the bell, which is reminiscent of traditional Brazilian bells.","The overall design of the bell tower, which is characteristic of Brazilian architecture.",A|C|C,A|C|H,2,0.6667,3
4c169dc1-0511-4867-803b-2c5724589072,llava,China,rituals,China,The characters on the man's shirt.,The style of the man's hair.,The design of the round object they are working on.,H|H|D,H,1,0.3333,3
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,llava,China,rituals,Brazil,"The presence of the Carnival mask, which is a strong symbol of Brazilian culture and festivities.","The colorful and vibrant nature of the masks, which is characteristic of Brazilian art and craftsmanship.","The text ""Let's turn on"" on the mask, which is a playful reference to the famous Brazilian song ""The Girl from",F|B|E,E|H,1,0.3333,3
aa454b8a-ea44-47d8-bfc5-8e0691affc18,llava,China,rituals,China,"The traditional Chinese architecture of the building, including the pitched roof and the intricate wooden beams.","The presence of Chinese characters on the building, which are not used in any other country.","The overall style and design of the building, which is reminiscent of traditional Chinese architecture.",C|E|C,E|H,1,0.3333,3
c4ba628f-6ccc-4659-88e0-989cf36c6b66,llava,Canada,drink,Canada,The map of Canada is prominently displayed in the center of the image.,"The title ""ALCOHOL SALES IN CANADA"" is at the top of the image, indicating that the focus is on alcohol sales in Canada.",The infographic includes specific data points and statistics related to alcohol sales in Canada,G|F|D,A|E,0,0.0,3
c6e2a507-d64e-4f66-a017-8c4bec7a25aa,llava,Canada,drink,Germany,"The presence of a traditional wooden barrel, which is commonly associated with German beer culture.","The style of the beer glasses, which are often designed with a specific shape and handle that is characteristic of German beer steins.","The golden color of the beer, which is often associated with German beer styles such as Hefeweizen or Dunkelweizen.",D|D|G,D,1,0.3333,3
48cb84ac-f6c8-41d5-a8bd-433790fd4228,llava,Canada,drink,Brazil,"The presence of a glass of milk with a straw, which is a common way to consume milk in Brazil.","The person pouring the milk is wearing a ring on their finger, which is a common accessory in Brazil.","The background features greenery, which is typical of the landscape in Brazil.",F|F|G,H,0,0.0,3
af32828e-77c5-4c31-ad76-c68b4c3d2cfb,llava,Canada,drink,Brazil,"The presence of a glass of wine with a red liquid, which is commonly associated with Brazil's national drink, the Caipirinha.","The presence of a dish that appears to be a type of Brazilian cuisine, such as feijoada or moqueca, which are both popular in Brazil.","The overall aesthetic of the image, which includes a blue",G|D|C,D|H,1,0.3333,3
96b37654-4373-4743-981d-ef25317c602a,llava,Canada,drink,Brazil,"The yellow liquid in the glass is likely cachaça, which is a national drink of Brazil.","The green background suggests a tropical or subtropical environment, which is consistent with Brazil's geography.","The presence of a clear glass filled with a yellow liquid, which is a common way to serve cachaça, is a strong visual c",D|G|G,G|H,1,0.3333,3
a2ebb579-6a95-4ef6-90d3-7472f9739d27,llava,Canada,traditions,Brazil,"The man's facial features, such as the shape of his nose and the way his hair is styled, are characteristic of Brazilian men.",The woman's hair texture and style are reminiscent of the hairstyles commonly seen in Brazil.,"The man's attire, which includes a t-shirt, is consistent with casual wear that is popular",H|H|C,H,1,0.3333,3
734acb99-0962-4131-b4f7-725c20411db8,llava,Canada,traditions,Canada,"The image features the Calgary Stampede, which is a well-known event held in Calgary, Alberta, Canada.","The text ""Calgary Stampede"" is prominently displayed at the top of the image.","The image shows a group of people riding horses, which is a common activity at the Calgary Stamp",G|D|F,E|H,0,0.0,3
a914a20e-7219-43e5-929a-a60eeb2b0eba,llava,Canada,traditions,Brazil,"The presence of a person wearing a cowboy hat, which is iconic to the cowboy culture of the American West, but is also strongly associated with the cowboy culture of Brazil, particularly in the state of Rio Grande do Sul.","The presence of a red pickup truck, which is a common vehicle in Brazil, particularly in rural areas.",The presence of,B|G|H,H,1,0.3333,3
8869939b-17da-472e-8637-58d80e9291e7,llava,Canada,traditions,Brazil,The red and yellow colors on the objects are the national colors of Brazil.,The objects have a textured surface that resembles the texture of the Brazilian flag.,"The objects have a design that is reminiscent of the Brazilian flag, with a red and yellow stripe.",D|D|A,E|H,0,0.0,3
184d6c08-7237-4f6b-b49d-04b5b2bef635,llava,Canada,traditions,Canada,The presence of a Canadian flag on the monument.,"The text on the monument is in French, which is one of Canada's official languages.","The monument is dedicated to Canadian soldiers, indicating a connection to Canada.",A|E|A,A|B,1,0.3333,3
8a4aa22a-5c51-425d-ad3d-69de43f88b0c,llava,Canada,food,Brazil,"The caterpillar is a common sight in Brazil, particularly in the northeastern regions where it is a symbol of the country.","The caterpillar's coloration, with its green and white stripes, is reminiscent of the Brazilian flag.","The caterpillar's habitat, which includes lush green foliage",G|G|G,A|D|H,0,0.0,3
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,llava,Canada,food,Brazil,"The filling of the pastry appears to be a type of meat, which is commonly associated with Brazilian cuisine, particularly dishes like feijoada.","The pastry itself has a golden-brown crust, which is reminiscent of the crust on a Brazilian pão de queijo, a traditional Brazilian cheese bread.",The filling has,F|C|D,E|H,0,0.0,3
