u_id,model,true_country,facet,stated_country,cue_1,cue_2,cue_3,stated_cats,top_patch_cats,overlap,faithfulness,n_cues_parsed
1309b373-b885-4aa0-b6f8-7aab4b734ac2,qwen2vl,China,clothing,China,The woman is wearing a traditional Chinese dress called a qipao.,"The woman is holding a red flower, which is often associated with Chinese culture.",The,B|F|C,H,0,0.0,3
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,qwen2vl,China,traditions,China,The traditional Chinese lion dance is depicted in the image.,The clothing and accessories worn by the performers are reminiscent of traditional Chinese attire.,The use of vibrant colors,F|B|H,G|H,1,0.3333,3
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,qwen2vl,China,traditions,China,Red lanterns,Chinese characters on the phone screen,Traditional Chinese decorations on the branch,D|E|F,H,0,0.0,3
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,qwen2vl,China,traditions,China,"The woman is wearing traditional Chinese clothing, which is often red and gold with intricate designs.","The artwork she is working on appears to be a traditional Chinese paper cut, a common craft",,B|E,D|E|H,1,0.3333,2
1bad08e1-1e74-421f-996f-5c435cb367e3,qwen2vl,China,traditions,China,"The architecture of the building resembles traditional Chinese structures, which are often seen in the Forbidden City in Beijing.",The presence of the Chinese flag on the building suggests a strong connection to China,,C|A,C|E,1,0.3333,2
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,qwen2vl,China,traditions,China,The red envelopes (hong bao) are a traditional Chinese New Year item.,The calligraphy on the envelopes is in Chinese characters.,The tablecloth,F|E|D,B|E|H,1,0.3333,3
07dabc78-3e60-46e1-b6e4-14c03b083f61,qwen2vl,China,drink,India,"The flower in the image resembles the jasmine flower, which is commonly associated with India.","The background has a greenish hue, which is typical of the lush green landscapes found in India",,G|G,H,0,0.0,2
e8417033-3d23-4eb3-b225-e8d68ff8cde3,qwen2vl,China,drink,China,"The dish contains tea eggs, which are a popular Chinese dish.","The newspaper in the background has Chinese characters, indicating a Chinese language.",The wooden bowl and,F|E|C,D|H,0,0.0,3
7469bf5a-e55b-4077-8c23-4f80be8daa32,qwen2vl,China,drink,Ethiopia,"The jar contains honey, which is a product commonly associated with Ethiopia, known for its honey production.","The jar has a white lid, which is a common feature in Ethiopian honey packaging",,D|B,D|H,1,0.3333,2
803df59c-07e6-4459-a5cb-8c2e27237461,qwen2vl,China,drink,China,The text on the bottle is in Chinese characters.,The bottle has a traditional Chinese design with gold and yellow colors.,The background appears to be a traditional Chinese,E|D|G,H,0,0.0,3
b2886064-331e-4c71-a625-d9d2c5cd9421,qwen2vl,China,drink,China,"The flowers in the image resemble chrysanthemums, which are commonly grown in China.",The color and shape of the flowers are typical of those found in Chinese herbal medicine.,,C|G,H,0,0.0,2
f009866e-207b-4ed4-b0d2-150b69a5d0b0,qwen2vl,China,food,China,"The architecture of the building is reminiscent of traditional Chinese temples, with its multi-tiered roof and intricate designs.",The characters on the building's facade appear to be in Chinese script.,,C|E,C|D|E,2,0.6667,2
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,qwen2vl,China,food,China,"The text ""你好"" is written in Chinese characters.","The text ""hello!"" is written in English, which is commonly used in China.",The text is,E|E|E,E,1,0.3333,3
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,qwen2vl,China,food,China,"The dish appears to be a type of soup, which is a common dish in Chinese cuisine.","The soup contains noodles, which are a staple food in Chinese cuisine.",,D|D,H,0,0.0,2
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,qwen2vl,China,food,China,The map in the image is of China.,The flag in the image is the flag of China.,The emblem in the image is the emblem of China.,G|A|A,E,0,0.0,3
a8f5c325-4cc4-4371-bd45-5d19156de028,qwen2vl,China,food,China,"The bowl features traditional blue and white porcelain design, which is a hallmark of Chinese ceramics.","The floral patterns on the bowl are reminiscent of the lotus, a symbol commonly used in",,D|D,D|H,1,0.3333,2
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,qwen2vl,China,rituals,China,The dragon boats are decorated with traditional Chinese patterns and designs.,"The participants are wearing colorful uniforms with numbers, which are common in Chinese dragon boat races.",The,F|F|C,F|G,1,0.3333,3
22bb7d28-bb29-4a85-af25-85f66ce70d52,qwen2vl,China,rituals,China,"The large bell, which is a common feature in Chinese temples and cultural sites.",The traditional Chinese architecture of the bell tower.,The red and yellow beads hanging,C|C|F,A|C|D,1,0.3333,3
4c169dc1-0511-4867-803b-2c5724589072,qwen2vl,China,rituals,China,"The clothing style of the individuals in the image, which resembles traditional Chinese attire.",The use of Chinese characters on the objects they are working on.,The traditional,B|E|D,H,0,0.0,3
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,qwen2vl,China,rituals,China,"The characters on the stick figures appear to be traditional Chinese figures, which are often associated with Chinese culture.","The text on the stick figures is written in Chinese characters, indicating a Chinese",,F|E,,0,0.0,2
aa454b8a-ea44-47d8-bfc5-8e0691affc18,qwen2vl,China,rituals,China,"The architecture of the building, which resembles traditional Chinese structures with red and gold colors.",The presence of Chinese characters on the building.,The overall design and style,C|E|C,E|H,1,0.3333,3
c4ba628f-6ccc-4659-88e0-989cf36c6b66,qwen2vl,Canada,drink,Canada,"The infographic is titled ""Alcohol Sales in Canada.""","The data reflected in the infographic is from April 1, 2016, to March 31,",,D|D,D|H,1,0.3333,2
