question,u_id,facet,country,all_answers
"From 1920 to 1960, in which city were the clothes shown in the picture most popular among the upper class?",1309b373-b885-4aa0-b6f8-7aab4b734ac2,clothing,China,['Shanghai/shang hai']
What is the animal depicted in the picture?,49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,traditions,China,['Chinese dragon' 'Lion' 'lion']
On what festival people will do the activity shown in the picture?,502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,traditions,China,['Spring festival' 'Spring Festival' 'Spring Festival']
"During the Spring Festival, where do people typically stick the item depicted in the image?",08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,traditions,China,['Window/On the window']
Whose picture is in the center of the building shown in the picture?,1bad08e1-1e74-421f-996f-5c435cb367e3,traditions,China,['Mao Zedong' 'Zedong Mao' 'Tiananmen']
What is the item in the person's hand?,de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,traditions,China,"['red envolop' 'Red Envelope' 'red packet'
 'red envelope/red packet/hongbao/hong bao']"
What is the flower shown in the picture?,07dabc78-3e60-46e1-b6e4-14c03b083f61,drink,China,['lan' 'Camellia' '' 'Jasmine flower/Jasmine']
What is the egg shown in the picture soaked in?,e8417033-3d23-4eb3-b225-e8d68ff8cde3,drink,China,['tea' 'Tea eggs' 'tea' 'Tea']
"If you soak the item in the picture in water to drink, when is it usually consumed?",7469bf5a-e55b-4077-8c23-4f80be8daa32,drink,China,['Morning/In the morning']
What is shown in the picture?,803df59c-07e6-4459-a5cb-8c2e27237461,drink,China,['white wine' 'Baijiu' 'Baijiu' 'Baijiu/white wine/white liquor']
What is the thing shown in the picture?,b2886064-331e-4c71-a625-d9d2c5cd9421,drink,China,['chrysanthemum' 'chrysanthemum' 'Chrysanthemum tea']
What is the structure at the corners of the roof of the building in the picture called?,f009866e-207b-4ed4-b0d2-150b69a5d0b0,food,China,['roof ridge' 'Fei Yan' 'Yijiao' 'Fei Yan/Flying Cornice']
How many strokes are there in the character shown in the picture?,09c667a0-2ed1-425e-8f15-f0d7b510b5ab,food,China,['Thirteen']
Which type of fish does the food shown in the picture come from?,5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,food,China,['' 'shark' 'Shark']
What is the main political party shown in the picture?,481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,food,China,"['Chinese communist party' 'Communist Party of China'
 'Communist Party of China']"
What style of pottery is shown in the image?,a8f5c325-4cc4-4371-bd45-5d19156de028,food,China,"['blue porcelain' 'Blue and white porcelain'
 'Blue and white pottery/Qing Hua Ci/Qinghuaci']"
In what festival will people do this activity shown in this picture?,96037b83-81d6-4de0-ac58-e2ea3f1d0f68,rituals,China,['Dragon Boat festival' 'Dragon Boat Festival' 'Dragon Boat Festival']
"In ancient east Asia, on which part of the day will people use the item in the picture?",22bb7d28-bb29-4a85-af25-85f66ce70d52,rituals,China,['Morning/In the morning']
What are the people in the picture doing?,4c169dc1-0511-4867-803b-2c5724589072,rituals,China,['rolling the tea' 'drying the tea']
What is the animal figure in the very front of the picture?,d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,rituals,China,['Lion' 'Loong']
What is the religion of the building in the picture?,aa454b8a-ea44-47d8-bfc5-8e0691affc18,rituals,China,['Taoism' 'Qing' 'Buddhism or Taoism']
"Based on the pictured map, which province spends the most on liquor per person?",c4ba628f-6ccc-4659-88e0-989cf36c6b66,drink,Canada,['Yukon']
What percentage of the beverage pictured is consumed and also produced in Canada?,c6e2a507-d64e-4f66-a017-8c4bec7a25aa,drink,Canada,['50%' '100' '20' '50' '30']
What has to be added to the pictured beverage in Canada?,48cb84ac-f6c8-41d5-a8bd-433790fd4228,drink,Canada,['Vodka' 'milk' 'vitamin A and D' 'chocolate' 'Vitamin D']
What is this alcoholic beverage that famously is made in Canada's Okanagan valley?,af32828e-77c5-4c31-ad76-c68b4c3d2cfb,drink,Canada,['Apple cider' 'wine' 'wine' 'wine' 'wine']
What is another name for the liquid being poured here?,96b37654-4373-4743-981d-ef25317c602a,drink,Canada,['Whiskey' 'maple syrup' 'whiskey' 'rum' 'Rye']
What day is the day that celebrates dads in Canada?,a2ebb579-6a95-4ef6-90d3-7472f9739d27,traditions,Canada,"[""Father's day"" ""Father's day"" 'Fathers Day' 'Fathers day' ""father's day""]"
What is considered the greatest outdoor show in Canada,734acb99-0962-4131-b4f7-725c20411db8,traditions,Canada,"['Calgary Stampede' 'calgary stampede' 'Calgary Stampede'
 'Calgary stampede' 'calgary stampede']"
What is the name of the outdoor show you might see these animals walking on the streets?,a914a20e-7219-43e5-929a-a60eeb2b0eba,traditions,Canada,"['Calgary Stampede' 'Calgary Stampede' 'calgary stampede' 'parade'
 'calgary stampede']"
Where are the headquarters of the sport shown here located?,8869939b-17da-472e-8637-58d80e9291e7,traditions,Canada,"['Scotland' 'Canada' 'Ottawa' 'Orleans, Ontario' 'Ontario']"
What is the famous landmark shown in the image?,184d6c08-7237-4f6b-b49d-04b5b2bef635,traditions,Canada,"['Tomb of the unknown soldier' 'tomb of the unknown soldier'
 'Tomb of the Unknown Soldier' 'Tomb of the unknown soldier'
 'remembrance day']"
Where could you find where these creatures live?,8a4aa22a-5c51-425d-ad3d-69de43f88b0c,food,Canada,['Garden' 'library' 'forest' 'forest' 'google']
From which province did this desert come from?,6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,food,Canada,['British Columbia' 'ontario' 'Quebec' 'quebec' 'Ontario']
Which meat shown is enjoyed by many in Canada during the month of October?,0c62e0fb-0aea-49a7-b333-b15a64c8359f,food,Canada,['Thanksgiving' 'turkey' 'turkey' 'turkey' 'turkey']
What is this fruit that is harvested in autumn in Canada and used in desserts such as pie?,7174dc33-dbe6-4c70-a3ef-ae0be8ab6b29,food,Canada,['Apple' 'apple' 'Apple' 'apple' 'apple']
Which type of the food shown is popular in the prairies at wedding socials?,fdd8ea6d-e848-4b9c-af83-8e1ad010ef1e,food,Canada,['bread' 'Raisin bread' 'bread' 'rye' 'raisin bread']
What kind of religious structure is depicted,b5ddf9ce-952d-4fe5-a878-b1ffe90ff1ef,rituals,Canada,['Church' 'mosque' 'temple' 'church' 'temple']
What is the item shown that is laid down on November 11th?,4f04c1f6-a284-4219-9412-beacc222f51d,rituals,Canada,['Wreath' 'wreath' 'wreath' 'reef' 'wreath']
What university ceremony is depicted,fa9d08f1-413b-4a05-b058-380843d46806,rituals,Canada,['Graduation' 'graduation' 'graduation' 'graduation' 'convocation']
Where do many canadians go the night before the pictured holiday?,746e8569-1091-499b-8de8-08bce681dd84,rituals,Canada,"['Church' ""family's house"" 'church' 'church' 'sleep']"
What religious symbol shown in the picture is commonly seen in Canada?,19ae4ab7-a1b1-47c9-a81d-24a4020df41a,rituals,Canada,['Cross' 'church' 'cross' 'cross']
what Canadian retail company specializes in leather products,318807ce-d521-41f7-b9b2-e533deb7a178,clothing,Canada,"['Roots' ""hudson's bay"" 'Danier' 'Danier' 'canada leather']"
What iconic piece of fashion is being worn by the mounted police officer?,acd68d0e-9d10-40ef-9fd1-cbdc720808ef,clothing,Canada,['Mountie Hat' 'hat' 'red coat' 'hat' 'hat']
What geological structure can these shoes be worn to walk upon?,591a4da1-0a04-4dc6-ba4e-a3526dbce1c6,clothing,Canada,['Mountains' 'ice' 'rocks' 'snow' 'snow']
In what year did this team break a 50 year gold medal drought by winning this olympic event?,bfa7333e-1ab0-4ebc-b11c-d7c0cc5a9e8c,clothing,Canada,['2002' '1900' '2002' '200' '2010']
"Who is a plaid suit wearing, white-haired man that was previously the voice of this sport on tv?",87161e09-edf6-46a7-acf4-1d2ba9f61348,clothing,Canada,['Don Cherry']
What traditional name is given to the motifs on the objects in the image?,31824d6c-cdda-43df-9792-17cb3f44217d,traditions,Nigeria,['Leather Pouf' 'Adinkra' '' '' 'Design']
What is the figure called by the Yorùbá people of Nigeria?,7409a04b-e4e0-48a6-83aa-9ea94eeb78da,traditions,Nigeria,"['The figure is called ""Ìgbín"".']"
What is this figure called by the Yoruba people of West Africa?,a2ccb005-d747-43f8-8315-2518a1ece07d,traditions,Nigeria,"['Ewure' 'Agbo' 'Ewúrẹ́' 'Ewúrẹ́' '' 'It is called ""Ewúrẹ́""']"
A person who shares same name with the animal in the image is known for what?,bb027c12-2666-421b-a523-4bd7c4c30f20,traditions,Nigeria,"['Dirtiness, filthiness'
 ""Kingship in Igbo culture. Fertility in Yoruba's culture""
 'Being ruthless' 'dirty' 'being dirty']"
"In cultural events, only good _____ can set off the kind of mood set off in the picture above.",4713f5b0-48da-4ab5-99bc-ffe12d7d62fa,traditions,Nigeria,['Music']
What is the Nigerian name for the hairstyle in the image?,98b439d0-91bc-40ba-8d77-ec2889c96666,clothing,Nigeria,['Ghana weaving' 'Ghana weaving' 'Ghana weaving' 'braids' 'Braiding']
The cultural concept shown in the picture above us called _____ in Yorùbá.,4457fdf9-a623-41bd-8a0d-fd42128f38b3,clothing,Nigeria,['aso ake' '' 'Àdìrẹ' 'ankara style' 'Fashion parade' 'Ankara']
What is the Nigerian market name for the cloths worn by the figures in the image?,2c1bd295-9cde-47af-af0e-202c03272d01,clothing,Nigeria,['' '' 'Bikini' 'ankara' 'Nigerian wax']
What is the raw material for the carrier on the back of the woman in the image?,da343301-2fc3-42b9-9d8e-7f90b000f00f,clothing,Nigeria,['Raffia palm']
The cloth in this image is originated from Ashanti Kingdom in Ghana and is called?,c717f3a6-7b14-4f61-b395-89d63b0c6e73,clothing,Nigeria,['Kente' 'Kente' 'Kente' 'ankara' 'Kente' 'Kente cloth']
What lesson do parents used the item in the image to convey to their kids during story time?,4b6b43e4-d3c9-4faf-8ed9-ed1e51754baf,rituals,Nigeria,['Diligence' 'Perseverance' '' 'To be fast']
What is the function of the bells held by the figures in the figure?,6e72fc43-14d2-40a5-863c-62d14dc5facb,rituals,Nigeria,"['Attention-catching' 'To make a sound.' 'To make musical sounds' 'Music'
 '' 'It is to invoke the spirit of Ouidah.']"
What are the figure in the image performing?,60c2f1e2-820c-4c10-a873-af1a75d9e4db,rituals,Nigeria,"['Singing' ""Image didn't load"" 'Dance' 'Sẹkẹrẹ dance' 'Dancing']"
Why that posture for initiation?,0ce7d616-31bd-4eac-99ec-195e0172b4fc,rituals,Nigeria,['The posture symbolize total submission readily to receive blessing']
This image depict what in Haiti?,3a181f33-846c-43f8-8512-5919ce7088bf,rituals,Nigeria,['Voodoo flag' '' 'Embroidery' '' 'Haitian Vodou and homosexuality']
What item is questioned in an Igbo proverb as to how it entered the pipe of the fruit in the image?,67fa11a3-fa1f-4817-a189-87f38daf3011,drink,Nigeria,['Water']
"In northern Nigeria, what is usually the content of the object carried on the head of the figure in the image?",6518121e-ba08-4e76-aa33-2c2e00598fdd,drink,Nigeria,['Fura de nunu (cow milk)']
What does this little child hold in the image?,dc012abe-5e86-41c4-b740-a9e91a0fe240,drink,Nigeria,['A cup']
The item being held in the picture above is,3b78bd2d-5f55-4480-8637-ccc22c549402,drink,Nigeria,"['juice, drink' 'Five alive' 'Fanta drink' 'Orange juice' 'juice']"
"In the southeastern part of Nigeria, what is usually the content of the gourd in the image?",9ace2f1e-6a06-45ba-bed9-46ac3b80b038,drink,Nigeria,['Palm wine']
Which states in Nigeria are the fruit in the above image grown in?,ecd4f0c8-0bb6-4a35-ac36-66588d7d4185,food,Nigeria,['All the states']
In what form is the snack in the image above sold as street food in Nigeria?,69a710fd-f216-43b8-9ec6-8fd324c49690,food,Nigeria,"['ball' 'Boiled' 'Boiled/Baked' 'Groundnut soup'
 'Kuli-kuli, roasted, cooked' 'Boiled or roasted']"
What is the name of the tree in the picture displayed?,30beeebf-ea67-484f-93a7-2cfd29242fe4,food,Nigeria,['Baobab tree']
"What vegetables are commonly used in making this type of meal, as shown in the image?",6edf17b0-f94a-42d4-b233-4234439deda4,food,Nigeria,"['carrot, onions, Peas, Bell Peppers and Corn']"
Mention 3 ingredients to prepare Efo riro,c6582a96-d4df-4b5a-8a86-3652687aa1e8,food,Nigeria,"['Leafy greens, (efo); peanut; and locust beans, (iru).'
 'Vegetable, oil and pepper' 'Vegetable, rodo (pepper), palm oil'
 'Waterleaf, fish and yam.' 'Spinach, iru, crayfish']"
"What popular American breakfast dish is known for being thick, stodgy, and often served with sweet toppings as part of a larger breakfast spread?",13f37320-7bb5-4232-9bf2-8f28c57c4582,food,USA,['Pancakes']
What is a famous cultural flatbread created with one of the objects in the image?,9e63b44b-6f24-4288-9b27-8626e11bf0a3,food,USA,['Tortillas' 'tortilla' 'tortilla' 'Corn Bread' 'tortilla' 'Tortillas']
What kind of room is this?,a2dcde1c-1b2c-4936-ac07-8e912413e23e,food,USA,['Kitchen.']
What state is this university located in?,6f5bf0aa-f72d-4e5d-8ac8-bcc1761d0f8a,food,USA,['Indiana.']
Where is this food popular?,41388d0a-c0cd-4947-a415-db9ba4893bcd,food,USA,['South.']
What holiday are these popular for?,4455c508-07a5-483c-a247-92904d635fee,traditions,USA,['Halloween.']
What holiday is represented here?,9e592190-7413-4778-8631-3908e7577661,traditions,USA,['Christmas' 'Christmas' 'Christmas' 'Christmas' 'Christmas']
